bin,python,vulkan,diff,rel_diff
65,6.2045629624e-04,6.2012600000e-04,3.3029624074e-07,5.3234408646e-04
66,2.4439192276e-03,2.4439300000e-03,-1.0772448867e-08,-4.4078579769e-06
67,2.1637638262e-03,2.1637700000e-03,-6.1737621764e-09,-2.8532514033e-06
68,1.0254935429e-03,1.0254200000e-03,7.3542850804e-08,7.1714591716e-05
69,2.9018420779e-03,2.8146500000e-03,8.7192077900e-05,3.0047147822e-02
70,1.7221759737e-03,1.6929900000e-03,2.9185973747e-05,1.6947149522e-02
71,4.4883850720e-04,4.4992400000e-04,-1.0854927988e-06,-2.4184484598e-03
72,2.5196531453e-03,2.5197500000e-03,-9.6854675796e-08,-3.8439686009e-05
73,2.8624130743e-03,2.8624700000e-03,-5.6925655567e-08,-1.9887295812e-05
74,4.6998758923e-05,4.6946200000e-05,5.2558923317e-08,1.1183044702e-03
75,3.0049183466e-03,3.0047900000e-03,1.2834660652e-07,4.2712177727e-05
76,2.7891938718e-03,2.7315300000e-03,5.7663871833e-05,2.0674027860e-02
77,6.5761744467e-04,6.5745700000e-04,1.6044466688e-07,2.4397872644e-04
78,1.7749042045e-03,1.7749100000e-03,-5.7954721874e-09,-3.2652309738e-06
79,3.4783766880e-03,3.4203300000e-03,5.8046688019e-05,1.6687867131e-02
80,2.4306494870e-03,2.3344100000e-03,9.6239486968e-05,3.9594144464e-02
81,1.3287112929e-03,1.3218700000e-03,6.8412928555e-06,5.1488181722e-03
82,3.7459882307e-03,3.7459500000e-03,3.8230726705e-08,1.0205778647e-05
83,2.9018817706e-03,2.8548400000e-03,4.7041770625e-05,1.6210781254e-02
84,4.3070574954e-04,4.3074600000e-04,-4.0250461368e-08,-9.3452342620e-05
85,2.2610075352e-03,2.2523900000e-03,8.6175351908e-06,3.8113695124e-03
86,4.0692142877e-03,4.0105200000e-03,5.8694287658e-05,1.4423985442e-02
87,3.0324553672e-03,2.9327100000e-03,9.9745367215e-05,3.2892608498e-02
88,9.4513921983e-04,9.5576100000e-04,-1.0621780165e-05,-1.1238323340e-02
89,4.1507553471e-03,4.1507100000e-03,4.5347124546e-08,1.0925029481e-05
90,4.0097453204e-03,3.9443700000e-03,6.5375320390e-05,1.6304107905e-02
91,1.5809620457e-03,1.5808700000e-03,9.2045729761e-08,5.8221340577e-05
92,1.4792115665e-03,1.4775900000e-03,1.6215665311e-06,1.0962370540e-03
93,4.1567073833e-03,4.1273100000e-03,2.9397383325e-05,7.0722763494e-03
94,4.8102916273e-03,4.7198700000e-03,9.0421627319e-05,1.8797535432e-02
95,1.9449871374e-03,1.8614800000e-03,8.3507137399e-05,4.2934544785e-02
96,2.7409364261e-03,2.7407900000e-03,1.4642610750e-07,5.3421927650e-05
97,5.3400127329e-03,5.3399300000e-03,8.2732902700e-08,1.5493015995e-05
98,4.4775456062e-03,4.4238200000e-03,5.3725606238e-05,1.1998896483e-02
99,1.5195055723e-03,1.5196600000e-03,-1.5442769537e-07,-1.0163022636e-04
100,2.0350940689e-03,2.0350000000e-03,9.4068934219e-08,4.6223383778e-05
